what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363354537993
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363354600751
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363354601700
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1363354605776
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363354608426
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1363354608446
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363354609423
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363354627397
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363354627830
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1363354643821
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1363354646590
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1363354990849
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363355099481
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363355100498
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363355100837
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363355101795
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363355102111
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1363355102643
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1363355102707
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1363963866360
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1363963866361
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1363963866382
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1363963866409
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1363963866427
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1363963866455
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1363963866524
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1363963866563
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1363963866598
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1363963866644
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1363963866679
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1363963866717
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1363963866794
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1363963866825
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1363963866858
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1363963866897
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1363963866935
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1363963867010
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1363963867045
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1363963867071
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1363963867110
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1363963867205
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1363963867239
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1363963867266
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1363963867303
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1363963867315
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1363963867333
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1363963867347
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1363963867363
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1363963867377
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1363963867413
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1363963867454
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1363963867466
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1363963867493
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1363963867502
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1363963867535
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1363963867572
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1363963867647
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1363963867695
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1363963867722
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1363963867754
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1363963867787
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1363963867795
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1363963867856
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1363963867882
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1363963867957
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1363963867973
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1363963867988
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1363963868001
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1363963868016
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1363963868029
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1363963868106
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1363963868115
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1363963868115
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1363963868130
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1363963868139
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1363963868161
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1363963868179
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1363963868196
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1363963868244
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1363963868301
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1363963868339
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1363963868355
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1363963868376
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1363963868376
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1363963868389
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1363963868412
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1363963868429
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1363963868442
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1363963868482
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1363963868503
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1363963868527
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1363963868533
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1363963868534
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1363963868556
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1363963868567
os,sysinfo,,,"win32",1363963868570
arch,sysinfo,,,"x86",1363963868570
ws,sysinfo,,,"win32",1363963868570
locale,sysinfo,,,"en_US",1363963868570
processors,sysinfo,,,"4",1363963868570
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363963868570
java.runtime.version,sysinfo,,,"1.7.0_15-b03",1363963868570
java.specification.name,sysinfo,,,"Java Platform API Specification",1363963868570
java.specification.vendor,sysinfo,,,"Oracle Corporation",1363963868570
java.specification.version,sysinfo,,,"1.7",1363963868570
java.vendor,sysinfo,,,"Oracle Corporation",1363963868570
java.version,sysinfo,,,"1.7.0_15",1363963868570
java.vm.info,sysinfo,,,"mixed mode, sharing",1363963868570
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363963868570
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363963868570
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1363963868570
java.vm.specification.version,sysinfo,,,"1.7",1363963868570
java.vm.vendor,sysinfo,,,"Oracle Corporation",1363963868570
java.vm.version,sysinfo,,,"23.7-b01",1363963868570
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1363963868780
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1363963868891
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1363963868984
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1363963869042
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1363963869089
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1363963869337
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1363963869339
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1363963869682
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363963870884
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363963874263
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1363963876114
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1363963877071
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1363963877532
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1363963892438
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1363963906326
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363963906623
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363963919708
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363963920398
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1363963971315
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363963973990
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964232372
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363964281408
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1363964305265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1363964306123
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964308099
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964308848
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964327551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964328460
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1363964330678
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363964338930
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964342812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964343261
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1363964344829
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363964417024
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964420393
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964420835
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1363964422779
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964433814
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964493753
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363964497833
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1363964507063
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1363964507387
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1363964507603
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1363964507854
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1363964508060
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1363964508477
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964517113
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964517517
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964526551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964527313
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1363964528974
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363964531777
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964537931
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964542653
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964547592
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964548371
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964568091
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964568623
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964575560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964576041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964579983
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964580187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964590048
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964590492
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964593470
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964595346
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964599393
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964663904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964665368
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964666406
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363964666781
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1363964667709
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1363964667755
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1363964667774
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1363964667774
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1363964667788
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1373494665193
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1373494665195
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1373494665222
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1373494665237
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1373494665253
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1373494665270
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1373494665330
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1373494665372
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1373494665397
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1373494665424
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1373494665451
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1373494665465
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1373494665494
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1373494665527
